iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CUW,North America,Curacao,01/03/2022,38960,16,26,261,0,0,236413.505,97.09,157.771,1583.776,0,0,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,619,48,0.029,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
CYP,Europe,Cyprus,01/03/2022,324502,1986,1894.714,857,1,3.857,362165.39,2216.505,2114.625,956.468,1.116,4.305,,,,,,,,,,102159,25800062,28794.551,114.016,106111,118.427,0.0179,56,tests performed,,,,,,,,,,,,,,,896005,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
CZE,Europe,Czechia,01/03/2022,3587871,13543,9143.143,38685,93,50,334547.37,1262.803,852.543,3607.143,8.672,4.662,,303,28.253,2951,275.163,,,,,45149,51793356,4829.419,4.21,41844,3.902,0.208,4.8,tests performed,17394806,6943022,6845274,4016355,3870,5971,162.2,64.74,63.83,37.45,557,289,0.003,,10724553,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
COD,Africa,Democratic Republic of Congo,01/03/2022,86039,21,23.286,1335,0,0,931.38,0.227,0.252,14.451,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92377986,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,
DNK,Europe,Denmark,01/03/2022,2783399,18561,20855,4649,37,39.143,478798.28,3192.85,3587.462,799.718,6.365,6.733,,48,8.257,1734,298.281,,,2397,412.33,66704,62834323,10808.715,11.474,69714,11.992,0.2992,3.3,tests performed,,,,,,,,,,,,,,,5813302,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
DJI,Africa,Djibouti,01/03/2022,15547,0,0.714,189,0,0,15512.918,0,0.713,188.586,0,0,,,,,,,,,,,,,,366,0.365,0.002,512.6,tests performed,,,,,,,,,,,,,,,1002197,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,
DMA,North America,Dominica,01/03/2022,11108,0,22.143,57,0,0,153910.104,0,306.807,789.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,360,10,0.014,,72172,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.742,,,,
DOM,North America,Dominican Republic,01/03/2022,574912,356,330.857,4369,1,1.286,52485.577,32.5,30.205,398.86,0.091,0.117,,,,,,,,,,4746,3124587,285.254,0.433,5080,0.464,0.0651,15.4,samples tested,,,,,,,,,,,,,,,10953714,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,,,,
ECU,South America,Ecuador,01/03/2022,827760,0,1031.286,35223,0,7.286,46273.371,0,57.651,1969.033,0,0.407,,,,,,,,,,,2525717,141.192,,4025,0.225,0.2562,3.9,people tested,31996832,14774852,13565454,4206584,7716,46622,178.87,82.59,75.83,23.52,2606,3047,0.017,,17888474,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,,,,
EGY,Africa,Egypt,01/03/2022,485093,1322,1663.429,24110,36,36.143,4652.799,12.68,15.955,231.253,0.345,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104258327,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,
