iso_code,location,continent,total_cases_per_million2021,total_cases_per_million2022,growth_cases_per_million,total_deathsMar21,total_deathsMar22,growth_deaths,total_cases2021,total_cases2022,dtc_Ratio2022
TZA,Tanzania,Africa,372.133,546.681,0.469047357,83,798,8.614457831,26031,33620,2.373587151
THA,Thailand,Asia,84.085,41951.517,497.917964,,23021,#DIV/0!,113,2934544,0.784483041
TLS,Timor,Asia,817.74,16886.243,19.64989239,85,128,0.505882353,6933,22693,0.564050588
TGO,Togo,Africa,5498.178,4341.23,-0.21042389,139,272,0.956834532,7716,36806,0.739009944
TON,Tonga,Oceania,19577.213,3325.247,-0.830147069,8022,,-1,233669,355,0
TTO,Trinidad and Tobago,North America,31883.723,91312.081,1.863908992,28638,3632,-0.873175501,2711479,128145,2.834289282
TUN,Tunisia,Africa,,83633.524,#DIV/0!,,27784,#DIV/0!,,998230,2.783326488
TUR,Turkey,Asia,53892.826,166379.184,2.087223223,14,94648,6759.571429,2114,14149341,0.668921613
TCA,Turks and Caicos Islands,North America,856.621,149569.163,173.6036614,334,36,-0.892215569,40367,5867,0.6136015
UGA,Uganda,Africa,32206.955,3466.251,-0.8923757,27480,3588,-0.869432314,1399934,163342,2.196618139
UKR,Ukraine,Europe,39440.169,115962.423,1.940211108,1238,112459,89.83925687,394050,5040518,2.231100058
ARE,United Arab Emirates,Asia,61372.557,88123.68,0.435880861,123039,2301,-0.981298613,4186045,880451,0.261343334
GBR,United Kingdom,Europe,86522.934,279099.479,2.225728325,515513,161773,-0.686190261,28804789,19036570,0.849801198
USA,United States,North America,13534.339,237572.183,16.55329041,980002,952423,-0.028141779,34020899,79091361,1.204206108
OWID_UMC,Upper middle income,,16811.031,47262.978,1.811426497,611,2438871,3990.605565,58589,118803663,2.052858421
URY,Uruguay,South America,2355.214,242284.985,101.8717497,622,6991,10.23954984,79926,844400,0.827925154
UZB,Uzbekistan,Asia,3.18,6969.078,2190.533962,,1636,#DIV/0!,1,236501,0.691751832
VUT,Vanuatu,Oceania,33251.232,60.42,-0.998182924,,1,#DIV/0!,27,19,5.263157895
VAT,Vatican,Europe,4861.357,35714.286,6.346567224,1348,,-1,139545,29,0
VEN,Venezuela,South America,24.937,17945.478,718.6325941,35,5636,160.0285714,2448,515124,1.094105497
VNM,Vietnam,Asia,811.249,36239.905,43.67174074,,40338,#DIV/0!,9,3557629,1.133845041
WLF,Wallis and Futuna,Oceania,14588.254,40923.021,1.805203488,2617602,7,-0.999997326,114882002,454,1.54185022
OWID_WRL,World,,75.761,55686.418,734.0274944,634,5964706,9407.053628,2310,438528632,1.360163411
YEM,Yemen,Asia,4175.436,386.053,-0.907541871,1098,2135,0.944444444,79002,11771,18.13779628
ZMB,Zambia,Africa,2392.963,16541.18,5.912426143,1468,3953,1.692779292,36115,312970,1.263060357
ZWE,Zimbabwe,Africa,,15694.959,#DIV/0!,,5395,#DIV/0!,,236871,2.27761102
